Respondent.Serial,S1,respondent_age,S3,S4,S5,S6,S7 (1/9),S7 (2/9),S7 (3/9),S7 (4/9),S7 (5/9),S7 (6/9),S7 (7/9),S7 (8/9),S7 (9/9),Q1,Q2
406,_02,48,_06,_03,_03,_02,_03,,,,,,,,,_01,"Unemployed at this time. Previous job: Archaic and toxic environment, men's club"
407,_02,48,_07,_01,_01,_04,_02,_03,_Other,,,,,,,_04,the people
408,_02,57,_07,_01,_02,_03,_01,_02,,,,,,,,_02,"No, I’m not. The work environment has become hostile, which makes it difficult for people to feel ownership or pride in what they do. Open communication is discouraged, opinions are often dismissed, and if you don’t align with certain viewpoints, you’re talked down to or made to feel inadequate. That kind of culture kills motivation and collaboration. This unfortunately is only in North America, the rest of our company is not anything like this which is disheartening.  I love the product and my coworkers which makes it hard to leave."
410,_02,40,_06,_01,_Other,_04,_06,,,,,,,,,_03,The current role has moved away from investigations and I would like to do more of that
413,_02,52,_04,_01,_03,_07,_08,,,,,,,,,_04,Enjoy working for the organization and appreciate the people i work with.
414,_02,26,_02,_01,_01,_07,_08,,,,,,,,,_05,I have been the industry just under a year and couldn't be happier I made the switch. The people are amazing and I feel like I've found home working here.
416,_02,54,_07,_01,_01,_03,_Other,,,,,,,,,_04,"I genuinely enjoy my work because it allows me to support and make a meaningful impact on others—whether that's clients, colleagues, or partners—through solutions that truly matter. What makes this even more fulfilling is being part of an industry that has proven to be both essential and resilient, consistently withstanding economic fluctuations. The stability of the sector, combined with the opportunity to solve complex challenges and build lasting relationships, is what makes this career deeply rewarding for me."
417,_02,51,_07,_01,_Other,_03,_02,,,,,,,,,_03,"I have a very good job and I enjoy what I do, but it has been a hard fought battle.  It took me over 20 years to get to the Director level at my company, and I continue to strive to move further up.  I feel like I am constantly battling the good ole boy's network even today.  It is much, much better than it was when I first started in this industry, but I think it will take at least a generation before we have enough women in powerful positions who will be able to pull other women up with them."
419,_02,24,_03,_01,_02,_04,_03,,,,,,,,,_04,I love the company I work out and feel well connected to the industry as well
420,_02,34,_05,_01,_Other,_04,_06,_08,,,,,,,,_04,"I like my job and my role, but as the only female on the team, I find it hard to advance."
421,_02,35,_05,_01,_02,_Other,_01,,,,,,,,,_04,"I enjoy my job, my position, my responsibilities. 
I continue to learn new things every day"
422,_02,43,_07,_01,_02,_04,_03,,,,,,,,,_05,Great company and team.
425,_02,42,_06,_01,_03,_04,_04,_06,,,,,,,,_04,I am lucky to work for a boss that pushes us to be our best and think outside the box.  She really makes working here enjoyable.
430,_02,52,_07,_01,_04,_07,_06,,,,,,,,,_03,"I’m genuinely satisfied with my job and proud of the work I do. I find fulfillment in the challenges and opportunities that come with my role. However, navigating a male-dominated industry as a woman has presented its own set of struggles. While I’ve grown stronger and more resilient through these experiences, I believe there’s still work to be done in creating a more inclusive and supportive environment for everyone."
431,_02,54,_05,_01,_02,_04,_02,,,,,,,,,_04,I enjoy the evolution and advancement of the technology
435,_02,50,_04,_01,_Other,_03,_06,,,,,,,,,_02,"A lot of red tape, long work hours, and not an SME"
437,_02,51,_07,_01,_Other,_04,_06,,,,,,,,,_03,"I've seen some inconsistencies in management and treatment of individuals and hiring practices that I'm not fond of. There is a lot of talk about transparency, but the truth is that it does not really happen. There is less balance in hiring than I would like, although the majority of appointments have been made with individuals best suited to positions versus based on gender or race."
439,_02,34,_03,_01,_02,_07,_08,,,,,,,,,_05,I think it has opened the door for many opportunities.
441,_02,39,_06,_01,_03,_02,_03,,,,,,,,,_01,Dont feel appreciated. The industry caters to men
444,_02,47,_07,_01,_02,_03,_06,,,,,,,,,_03,"Boys club, toxic dynamics in some areas"
446,_02,25,_04,_01,_Other,_04,_04,_06,_07,,,,,,,_02,"My current job holds a lot of potential; however, there are a variety of issues that arise that create hinderances. These issues are primarily organizational, such as leadership."
449,_02,32,_06,_01,_02,_04,_05,,,,,,,,,_04,"My current role has scope to work on new technologies and concepts. Also, to lead people towards it"
452,_02,41,_06,_01,_02,_04,_02,,,,,,,,,_04,I have a supportive team of colleagues
454,_02,54,_05,_01,_Other,_Other,_06,,,,,,,,,_04,"Good support, tools, and resources to perform job."
456,_02,53,_03,_01,_Other,_02,_03,,,,,,,,,_05,"HID is a great company - great leadership, great team, meaningful work."
462,_02,61,_06,_01,_02,_04,_02,,,,,,,,,_04,Enjoy work environment
463,_02,59,_07,_03,_04,_04,_06,,,,,,,,,_03,I’m enjoying taking a break from corporate to focus on pro bono and non profit work.
468,_02,62,_07,_01,_02,_04,_02,,,,,,,,,_05,Leadership/communication/growth opportunity/salary
502,_02,54,_07,_01,_02,_03,_03,,,,,,,,,_04,"I like what I do. The leadership team is making positive changes, and I agree with our president's vision for the company."
531,_02,44,_07,_01,_04,_04,_06,,,,,,,,,_02,"I enjoy the company I am working with, but do not enjoy the position.  I like to be more hands on and involved with people."
534,_02,54,_06,_01,_02,_03,_02,,,,,,,,,_03,It's good not great - role and responsibilities are in development!
569,_02,38,_06,_01,_04,_Other,_04,_06,_07,,,,,,,_02,It appears to me that the security industry just wants to remain status quo (especially when it comes to promoting women of colour). It’s really discouraging to continue to see white males promoted when there are many women of colour out performing also going for these top roles.
573,_01,30,_05,_01,_03,_05,_06,,,,,,,,,_04,"The job provides stability and consistent work, but there are limited opportunities for career advancement and skill development. Additionally, long hours and the high-stress environment can sometimes impact work-life balance."
574,_02,59,_07,_03,_04,_04,_06,,,,,,,,,_04,"I have autonomy,I am a Leader in my region. I am enthusiastic about security. Me former manager was my mentor."
580,_01,26,_03,_01,_02,_04,_04,,,,,,,,,_04,"I am satisfied with my current job in the security industry. Here, interpersonal relationships are simple, and everyone focuses on security affairs. There are no complicated disputes, and the working atmosphere is relaxed and pleasant."
581,_02,41,_05,_01,_01,_07,_04,_06,,,,,,,,_03,Good salary and benefits
582,_02,35,_04,_01,_03,_05,_02,_03,_06,,,,,,,_04,满意度受细分领域（如网络安全、物理安全、工业安全、公共安全等
583,_02,31,_05,_01,_03,_05,_02,_03,_06,,,,,,,_04,满意度受细分领域（如网络安全、物理安全、工业安全、公共安全等
584,_02,33,_05,_01,_03,_06,_02,_03,_06,,,,,,,_04,满意度受细分领域（如网络安全、物理安全、工业安全、公共安全等
585,_02,35,_04,_01,_02,_06,_02,_03,_06,,,,,,,_04,满意度受细分领域（如网络安全、物理安全、工业安全、公共安全等
587,_02,39,_03,_02,_03,_06,_02,,,,,,,,,_04,Easy
593,_03,31,_03,_02,_03,_04,_04,_06,,,,,,,,_03,The salary is not quite satisfactory.
594,_02,29,_04,_01,_03,_07,_06,_08,,,,,,,,_03,Satisfactory
595,_02,33,_04,_01,_03,_05,_02,_03,,,,,,,,_04,"Such as cybersecurity, physical security, industrial security, public security, etc."
596,_02,37,_04,_01,_03,_05,_02,_03,_06,,,,,,,_04,"Such as cybersecurity, physical security, industrial security, public security, etc."
597,_02,38,_04,_01,_03,_05,_02,_04,_06,,,,,,,_04,"Such as cybersecurity, physical security, industrial security, public security, etc."
598,_02,35,_04,_01,_03,_06,_03,_06,_07,,,,,,,_04,"Such as cybersecurity, physical security, industrial security, public security, etc."
599,_02,43,_04,_02,_03,_06,_03,_06,,,,,,,,_04,Easy; Simple work
601,_01,32,_03,_01,_04,_07,_05,_06,,,,,,,,_03,Simple work
602,_01,38,_03,_02,_02,_06,_04,,,,,,,,,_04,安全大于一切，我热爱这份工作
604,_02,44,_04,_01,_02,_07,_01,_03,,,,,,,,_02,Low salary
606,_02,29,_03,_01,_07,_07,_03,_04,,,,,,,,_03,Tired
607,_02,34,_04,_01,_03,_05,_02,_03,_06,,,,,,,_04,"In the field of industrial safety: Optimizing safety procedures in factories, reducing accident rates, and directly contributing to production safety are regarded as the ""backstage guardians""."
608,_02,38,_04,_01,_03,_05,_02,_03,_06,,,,,,,_04,"In the field of industrial safety: Optimizing safety procedures in factories, reducing accident rates, and directly contributing to production safety are regarded as the ""backstage guardians""."
609,_02,36,_04,_01,_03,_06,_02,_03,_06,,,,,,,_04,"In the field of industrial safety: Optimizing safety procedures in factories, reducing accident rates, and directly contributing to production safety are regarded as the ""backstage guardians""."
610,_02,34,_04,_01,_03,_06,_02,_03,_06,,,,,,,_04,"In the field of industrial safety: Optimizing safety procedures in factories, reducing accident rates, and directly contributing to production safety are regarded as the ""backstage guardians""."
611,_02,32,_04,_01,_01,_05,_02,_03,_06,,,,,,,_04,"In the field of industrial safety: Optimizing safety procedures in factories, reducing accident rates, and directly contributing to production safety are regarded as the ""backstage guardians""."
612,_02,37,_03,_01,_02,_06,_03,_06,,,,,,,,_03,Stressful
614,_01,33,_03,_01,_04,_07,_04,,,,,,,,,_02,Low salary; high pressure
615,_02,37,_04,_01,_03,_06,_02,_03,_06,,,,,,,_04,"In the field of industrial safety: Optimizing safety procedures in factories, reducing accident rates, and directly contributing to production safety are regarded as the ""backstage guardians""."
616,_02,39,_03,_01,_03,_05,_03,_06,,,,,,,,_04,"In the field of industrial safety: Optimizing safety procedures in factories, reducing accident rates, and directly contributing to production safety are regarded as the ""backstage guardians""."
617,_02,35,_04,_01,_03,_06,_02,_06,,,,,,,,_03,"In the field of industrial safety: Optimizing safety procedures in factories, reducing accident rates, and directly contributing to production safety are regarded as the ""backstage guardians""."
618,_02,33,_04,_01,_03,_06,_02,_06,,,,,,,,_04,"In the field of industrial safety: Optimizing safety procedures in factories, reducing accident rates, and directly contributing to production safety are regarded as the ""backstage guardians""."
619,_02,36,_04,_01,_03,_06,_02,_04,_06,,,,,,,_04,"In the field of industrial safety: Optimizing safety procedures in factories, reducing accident rates, and directly contributing to production safety are regarded as the ""backstage guardians""."
620,_01,31,_02,_01,_06,_06,_04,_06,,,,,,,,_03,Easy job
621,_02,33,_03,_01,_03,_07,_06,,,,,,,,,_03,"Overall, I’m quite satisfied with my work in the security industry. As a security consultant, there’s a unique sense of purpose in helping organizations identify vulnerabilities, strengthen their defenses, and protect what matters most—whether that’s sensitive data, physical assets, or the safety of their people."
622,_01,31,_04,_01,_02,_07,_05,,,,,,,,,_03,"After a while, I wanted to go for a walk outside."
623,_01,32,_04,_02,_03,_06,_03,,,,,,,,,_02,Low salary
624,_02,37,_02,_01,_04,_06,_08,,,,,,,,,_04,Easy job
625,_01,25,_03,_01,_05,_06,_02,,,,,,,,,_04,"I'm extremely satisfied with my work in the security industry. First, the industry's emphasis on safeguarding lives and property gives me a strong sense of mission, making each task meaningful. Second, the continuous innovation in security technologies, like AI - powered surveillance and advanced access control systems, keeps the work engaging and intellectually stimulating. I get to learn and apply cutting - edge solutions constantly. Also, the collaborative environment with colleagues, sharing insights on threat prevention and risk mitigation, fosters professional growth. Moreover, seeing the positive impact of our efforts in reducing security incidents and ensuring safety reinforces my job satisfaction."
626,_01,48,_05,_04,_05,_07,_01,,,,,,,,,_04,I have a deep passion for my job. It has brought me many interesting and challenging experiences.
630,_02,42,_03,_02,_04,_05,_06,,,,,,,,,_04,"I am extremely passionate about my job. It has brought me many interesting and challenging experiences, and it has also allowed me to assist many people in need."
633,_02,31,_03,_01,_02,_05,_04,_08,,,,,,,,_04,Easy; high-paying
634,_01,56,_07,_04,_04,_01,_01,_08,,,,,,,,_03,"I am extremely passionate about my job. It has brought me many interesting and challenging experiences, which have instilled in me a great deal of enthusiasm."
635,_01,26,_03,_01,_04,_06,_07,,,,,,,,,_03,Easy job
636,_01,44,_04,_01,_02,_04,_04,_05,,,,,,,,_04,"I am extremely passionate about my job. It has brought me many interesting and challenging experiences, which have instilled in me a great deal of enthusiasm."
637,_01,30,_02,_01,_02,_06,_02,,,,,,,,,_03,"Because of the good welfare and quality products, the boss is responsible."
638,_01,27,_03,_02,_07,_04,_08,,,,,,,,,_04,"I am extremely passionate about my job. It has brought me many interesting and challenging experiences, which have instilled in me a great deal of enthusiasm."
639,_01,33,_04,_02,_03,_07,_08,,,,,,,,,_02,The work is cumbersome
640,_01,29,_02,_01,_03,_06,_05,_06,,,,,,,,_03,A company with good welfare and humanized management produces high-quality products.
642,_02,62,_07,_04,_03,_07,_06,,,,,,,,,_02,Boring work is dangerous and unsafe.
643,_02,28,_03,_01,_02,_06,_03,_06,,,,,,,,_03,"the work is meaningful and contributes to protecting people and environments. BUT there are limitations such as outdated equipment, limited career advancement opportunities"
644,_01,31,_02,_01,_02,_06,_02,_03,,,,,,,,_04,"Because the products manufactured by the company are reliable and trustworthy, with good welfare benefits and a positive work atmosphere."
645,_01,65,_07,_04,_02,_04,_04,_05,_07,,,,,,,_05,He brought us and my family interesting things.
647,_01,31,_03,_01,_07,_05,_07,,,,,,,,,_03,Satisfaction gives rise to the demand for stable jobs.
648,_02,43,_04,_02,_04,_01,_02,_03,_04,_06,,,,,,_03,He brought us and my family interesting things.
650,_01,27,_02,_02,_02,_02,_02,,,,,,,,,_04,The company's good place to live is close to where I work.
651,_02,46,_04,_02,_04,_07,_03,_04,,,,,,,,_04,Easy job; high salary
654,_01,27,_02,_03,_01,_05,_01,,,,,,,,,_01,"Poor welfare, bad boss treatment, far from home"
655,_01,46,_05,_01,_02,_05,_05,_06,,,,,,,,_03,He brought us and my family interesting things.
658,_01,26,_02,_01,_04,_07,_06,,,,,,,,,_03,Still quite fond of it.
659,_01,39,_04,_01,_05,_04,_04,,,,,,,,,_02,Because there are still some safety systems that cannot be fully implemented
660,_01,38,_04,_01,_05,_04,_01,_08,,,,,,,,_04,Easy job; high salary
661,_01,44,_04,_01,_03,_07,_08,,,,,,,,,_04,Still quite fond of it.
662,_02,31,_03,_01,_03,_06,_08,,,,,,,,,_04,Still quite fond of it.
664,_02,47,_04,_01,_03,_04,_02,,,,,,,,,_04,Still quite fond of it.
665,_02,53,_02,_02,_03,_05,_06,,,,,,,,,_04,Still quite fond of it.
668,_01,58,_04,_02,_04,_04,_04,,,,,,,,,_04,Still quite fond of it.
670,_01,36,_03,_01,_03,_07,_04,,,,,,,,,_04,Still quite fond of it.
